id,<=3,Ejercicio,O1,O2,O3,O4,O5,Respuesta,W1,W2,W3,W4,Contenido,Molde,Or_Dificultad,Dificultad,Habilidad,aux_n1,aux_n2,aux_n3,aux_n4,aux_n5,aux_n6,aux_n7,aux_n8,aux_n9,aux_n10,aux_n11,aux_n12,aux_n13,aux_n14,aux_n15,aux_n16,aux_n17,aux_n18,aux_n19,aux_n20,aux_n21,aux_n22,aux_n23,aux_n24,aux_n25,aux_n26,aux_n27,aux_n28,aux_n29,aux_n30,aux_n31,aux_n32,aux_n33,aux_n34,aux_n35,aux_n36,aux_n37,aux_n38,aux_n39,aux_n40,aux_n41,aux_n42,3,4,5,6,7,8,9,10,excercise_id,
2577,,¿Cuál es el resultado de `(-15)^(1) · (14)^(1) · (1)^(1)`?,,,,,,`-210`,`-209`,`-211`,`-208`,`-212`,14,B,0.833333333,700,Aplicar,14,-15,1,14,-15,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2577,
2578,,¿Cuál es el resultado de `(-5)^(2) · (-3)^(2) · (-2)^(2)`?,,,,,,`900`,`901`,`899`,`902`,`898`,14,B,0.833333333,700,Aplicar,-3,-5,2,-3,-5,2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2578,
2579,,¿Cuál es el resultado de `(-24)^(2) · (-15)^(2) · (-23)^(2)`?,,,,,,`68558400`,`68558401`,`68558399`,`68558402`,`68558398`,14,B,0.833333333,700,Aplicar,-15,-24,2,-15,-24,2,-23,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2579,
2580,,¿Cuál es el resultado de `(7)^(1) · (-15)^(1) · (22)^(1)`?,,,,,,`-2310`,`-2309`,`-2311`,`-2308`,`-2312`,14,B,0.833333333,700,Aplicar,-15,7,1,-15,7,1,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2580,
2581,,¿Cuál es el resultado de `(17)^(1) · (1)^(1) · (-10)^(1)`?,,,,,,`-170`,`-169`,`-171`,`-168`,`-172`,14,B,1,800,Aplicar,1,17,1,0,17,1,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2581,
2582,,¿Cuál es el resultado de `(-9)^(2) · (2)^(2) · (-27)^(2)`?,,,,,,`236196`,`236197`,`236195`,`236198`,`236194`,14,B,1,800,Aplicar,2,-9,2,2,-9,2,-27,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2582,
2583,,¿Cuál es el resultado de `(18)^(1) · (-11)^(1) · (-9)^(1)`?,,,,,,`1782`,`1783`,`1781`,`1784`,`1780`,14,B,1,800,Aplicar,-11,18,1,-11,18,1,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2583,
2584,,¿Cuál es el resultado de `(27)^(2) · (29)^(2) · (-10)^(2)`?,,,,,,`61308900`,`61308901`,`61308899`,`61308902`,`61308898`,14,B,1,800,Aplicar,29,27,2,29,27,2,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2584,
2585,,¿Cuál es el resultado de `(-7)^(1) · (3)^(1) · (16)^(1)`?,,,,,,`-336`,`-335`,`-337`,`-334`,`-338`,14,B,1,800,Aplicar,3,-7,1,3,-7,1,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2585,
2586,,¿Cuál es el resultado de `(-15)^(1) · (11)^(1) · (9)^(1)`?,,,,,,`-1485`,`-1484`,`-1486`,`-1483`,`-1487`,14,B,1,800,Aplicar,11,-15,1,11,-15,1,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2586,
2587,,¿Cuál es el resultado de `(-19)^(1) · (-8)^(1) · (-22)^(1)`?,,,,,,`-3344`,`-3343`,`-3345`,`-3342`,`-3346`,14,B,1,800,Aplicar,-8,-19,1,-8,-19,1,-22,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2587,
2588,,¿Cuál es el resultado de `(-12)^(2) · (-9)^(2) · (-24)^(2)`?,,,,,,`6718464`,`6718465`,`6718463`,`6718466`,`6718462`,14,B,1,800,Aplicar,-9,-12,2,-9,-12,2,-24,-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2588,
2589,,¿Cuál es el resultado de `(-3)^(2) · (13)^(2) · (-8)^(2)`?,,,,,,`97344`,`97345`,`97343`,`97346`,`97342`,14,B,1,800,Aplicar,13,-3,2,13,-3,2,-8,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2589,
2590,,¿Cuál es el resultado de `(1)^(2) · (-14)^(2) · (6)^(2)`?,,,,,,`7056`,`7057`,`7055`,`7058`,`7054`,14,B,1,800,Aplicar,-14,1,2,-14,1,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2590,
2591,,¿Cuál es el área de un rectángulo de lados `(2)^(2)` y `(3)^(2)`?,,,,,,`36`,`36`,`2401`,`1296`,`72`,14,C,0.2,480,Analizar,3,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2591,
2592,,¿Cuál es el área de un rectángulo de lados `(3)^(2)` y `(2)^(2)`?,,,,,,`36`,`36`,`2401`,`1296`,`72`,14,C,0.2,480,Analizar,2,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2592,
2593,,¿Cuál es el área de un rectángulo de lados `(3)^(2)` y `(1)^(2)`?,,,,,,`9`,`25`,`256`,`625`,`18`,14,C,0.2,480,Analizar,1,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2593,
2594,,¿Cuál es el área de un rectángulo de lados `(3)^(2)` y `(2)^(2)`?,,,,,,`36`,`36`,`2401`,`1296`,`72`,14,C,0.2,480,Analizar,2,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2594,
2595,,¿Cuál es el área de un rectángulo de lados `(2)^(2)` y `(3)^(2)`?,,,,,,`36`,`36`,`2401`,`1296`,`72`,14,C,0.2,480,Analizar,3,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595,
2596,,¿Cuál es el área de un rectángulo de lados `(1)^(2)` y `(3)^(2)`?,,,,,,`9`,`25`,`256`,`625`,`18`,14,C,0.2,480,Analizar,3,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2596,
2597,,¿Cuál es el área de un rectángulo de lados `(2)^(2)` y `(3)^(2)`?,,,,,,`36`,`36`,`2401`,`1296`,`72`,14,C,0.2,480,Analizar,3,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2597,
2598,,¿Cuál es el área de un rectángulo de lados `(3)^(2)` y `(1)^(2)`?,,,,,,`9`,`25`,`256`,`625`,`18`,14,C,0.2,480,Analizar,1,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2598,
2599,,¿Cuál es el área de un rectángulo de lados `(3)^(2)` y `(2)^(2)`?,,,,,,`36`,`36`,`2401`,`1296`,`72`,14,C,0.2,480,Analizar,2,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2599,
2600,,¿Cuál es el área de un rectángulo de lados `(3)^(2)` y `(1)^(2)`?,,,,,,`9`,`25`,`256`,`625`,`18`,14,C,0.2,480,Analizar,1,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,
2601,,¿Cuál es el área de un rectángulo de lados `(2)^(3)` y `(4)^(3)`?,,,,,,`512`,`216`,`262144`,`46656`,`1024`,14,C,0.4,610,Analizar,4,2,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2601,
2602,,¿Cuál es el área de un rectángulo de lados `(2)^(3)` y `(2)^(3)`?,,,,,,`64`,`64`,`4096`,`4096`,`128`,14,C,0.4,610,Analizar,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2602,
2603,,¿Cuál es el área de un rectángulo de lados `(3)^(3)` y `(3)^(3)`?,,,,,,`729`,`216`,`531441`,`46656`,`1458`,14,C,0.4,610,Analizar,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2603,
2604,,¿Cuál es el área de un rectángulo de lados `(4)^(3)` y `(4)^(3)`?,,,,,,`4096`,`512`,`16777216`,`262144`,`8192`,14,C,0.4,610,Analizar,4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2604,
2605,,¿Cuál es el área de un rectángulo de lados `(4)^(3)` y `(3)^(3)`?,,,,,,`1728`,`343`,`2985984`,`117649`,`3456`,14,C,0.4,610,Analizar,3,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2605,
2606,,¿Cuál es el área de un rectángulo de lados `(3)^(3)` y `(4)^(3)`?,,,,,,`1728`,`343`,`2985984`,`117649`,`3456`,14,C,0.4,610,Analizar,4,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2606,
2607,,¿Cuál es el área de un rectángulo de lados `(3)^(3)` y `(3)^(3)`?,,,,,,`729`,`216`,`531441`,`46656`,`1458`,14,C,0.4,610,Analizar,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607,
2608,,¿Cuál es el área de un rectángulo de lados `(3)^(3)` y `(4)^(3)`?,,,,,,`1728`,`343`,`2985984`,`117649`,`3456`,14,C,0.4,610,Analizar,4,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2608,
2609,,¿Cuál es el área de un rectángulo de lados `(3)^(3)` y `(2)^(3)`?,,,,,,`216`,`125`,`46656`,`15625`,`432`,14,C,0.4,610,Analizar,2,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2609,
2610,,¿Cuál es el área de un rectángulo de lados `(2)^(3)` y `(4)^(3)`?,,,,,,`512`,`216`,`262144`,`46656`,`1024`,14,C,0.4,610,Analizar,4,2,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610,
2611,,¿Cuál es el área de un rectángulo de lados `(5)^(3)` y `(3)^(3)`?,,,,,,`3375`,`512`,`11390625`,`262144`,`6750`,14,C,0.6,740,Analizar,3,5,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2611,
2612,,¿Cuál es el área de un rectángulo de lados `(4)^(3)` y `(3)^(3)`?,,,,,,`1728`,`343`,`2985984`,`117649`,`3456`,14,C,0.6,740,Analizar,3,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2612,
2613,,¿Cuál es el área de un rectángulo de lados `(3)^(3)` y `(5)^(3)`?,,,,,,`3375`,`512`,`11390625`,`262144`,`6750`,14,C,0.6,740,Analizar,5,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2613,
2614,,¿Cuál es el área de un rectángulo de lados `(4)^(3)` y `(4)^(3)`?,,,,,,`4096`,`512`,`16777216`,`262144`,`8192`,14,C,0.6,740,Analizar,4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2614,
2615,,¿Cuál es el área de un rectángulo de lados `(3)^(3)` y `(5)^(3)`?,,,,,,`3375`,`512`,`11390625`,`262144`,`6750`,14,C,0.6,740,Analizar,5,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2615,
2616,,¿Cuál es el área de un rectángulo de lados `(4)^(3)` y `(4)^(3)`?,,,,,,`4096`,`512`,`16777216`,`262144`,`8192`,14,C,0.6,740,Analizar,4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2616,
2617,,¿Cuál es el área de un rectángulo de lados `(3)^(3)` y `(3)^(3)`?,,,,,,`729`,`216`,`531441`,`46656`,`1458`,14,C,0.6,740,Analizar,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2617,
2618,,¿Cuál es el área de un rectángulo de lados `(3)^(3)` y `(4)^(3)`?,,,,,,`1728`,`343`,`2985984`,`117649`,`3456`,14,C,0.6,740,Analizar,4,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2618,
2619,,¿Cuál es el área de un rectángulo de lados `(5)^(3)` y `(5)^(3)`?,,,,,,`15625`,`1000`,`244140625`,`1000000`,`31250`,14,C,0.6,740,Analizar,5,5,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2619,
2620,,¿Cuál es el área de un rectángulo de lados `(5)^(3)` y `(4)^(3)`?,,,,,,`8000`,`729`,`64000000`,`531441`,`16000`,14,C,0.6,740,Analizar,4,5,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2620,
2621,,¿Cuál es el área de un rectángulo de lados `(6)^(3)` y `(4)^(3)`?,,,,,,`13824`,`1000`,`191102976`,`1000000`,`27648`,14,C,0.8,870,Analizar,4,6,3,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2621,
2622,,¿Cuál es el área de un rectángulo de lados `(5)^(3)` y `(5)^(3)`?,,,,,,`15625`,`1000`,`244140625`,`1000000`,`31250`,14,C,0.8,870,Analizar,5,5,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2622,
2623,,¿Cuál es el área de un rectángulo de lados `(5)^(3)` y `(4)^(3)`?,,,,,,`8000`,`729`,`64000000`,`531441`,`16000`,14,C,0.8,870,Analizar,4,5,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2623,
2624,,¿Cuál es el área de un rectángulo de lados `(5)^(3)` y `(4)^(3)`?,,,,,,`8000`,`729`,`64000000`,`531441`,`16000`,14,C,0.8,870,Analizar,4,5,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2624,
2625,,¿Cuál es el área de un rectángulo de lados `(4)^(3)` y `(6)^(3)`?,,,,,,`13824`,`1000`,`191102976`,`1000000`,`27648`,14,C,0.8,870,Analizar,6,4,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2625,
2626,,¿Cuál es el área de un rectángulo de lados `(4)^(3)` y `(6)^(3)`?,,,,,,`13824`,`1000`,`191102976`,`1000000`,`27648`,14,C,0.8,870,Analizar,6,4,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2626,
2627,,¿Cuál es el área de un rectángulo de lados `(5)^(3)` y `(4)^(3)`?,,,,,,`8000`,`729`,`64000000`,`531441`,`16000`,14,C,0.8,870,Analizar,4,5,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2627,
2628,,¿Cuál es el área de un rectángulo de lados `(4)^(3)` y `(4)^(3)`?,,,,,,`4096`,`512`,`16777216`,`262144`,`8192`,14,C,0.8,870,Analizar,4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2628,
2629,,¿Cuál es el área de un rectángulo de lados `(4)^(3)` y `(4)^(3)`?,,,,,,`4096`,`512`,`16777216`,`262144`,`8192`,14,C,0.8,870,Analizar,4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2629,
2630,,¿Cuál es el área de un rectángulo de lados `(5)^(3)` y `(5)^(3)`?,,,,,,`15625`,`1000`,`244140625`,`1000000`,`31250`,14,C,0.8,870,Analizar,5,5,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2630,
2631,,¿Cuál es el área de un rectángulo de lados `(7)^(3)` y `(6)^(3)`?,,,,,,`74088`,`2197`,`5489031744`,`4826809`,`148176`,14,C,1,1000,Analizar,6,7,3,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2631,
2632,,¿Cuál es el área de un rectángulo de lados `(7)^(3)` y `(7)^(3)`?,,,,,,`117649`,`2744`,`13841287201`,`7529536`,`235298`,14,C,1,1000,Analizar,7,7,3,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2632,
2633,,¿Cuál es el área de un rectángulo de lados `(7)^(3)` y `(6)^(3)`?,,,,,,`74088`,`2197`,`5489031744`,`4826809`,`148176`,14,C,1,1000,Analizar,6,7,3,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633,
2634,,¿Cuál es el área de un rectángulo de lados `(5)^(3)` y `(6)^(3)`?,,,,,,`27000`,`1331`,`729000000`,`1771561`,`54000`,14,C,1,1000,Analizar,6,5,3,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2634,
2635,,¿Cuál es el área de un rectángulo de lados `(6)^(3)` y `(7)^(3)`?,,,,,,`74088`,`2197`,`5489031744`,`4826809`,`148176`,14,C,1,1000,Analizar,7,6,3,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2635,
2636,,¿Cuál es el área de un rectángulo de lados `(5)^(3)` y `(5)^(3)`?,,,,,,`15625`,`1000`,`244140625`,`1000000`,`31250`,14,C,1,1000,Analizar,5,5,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636,
2637,,¿Cuál es el área de un rectángulo de lados `(6)^(3)` y `(6)^(3)`?,,,,,,`46656`,`1728`,`2176782336`,`2985984`,`93312`,14,C,1,1000,Analizar,6,6,3,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637,
2638,,¿Cuál es el área de un rectángulo de lados `(5)^(3)` y `(5)^(3)`?,,,,,,`15625`,`1000`,`244140625`,`1000000`,`31250`,14,C,1,1000,Analizar,5,5,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2638,
2639,,¿Cuál es el área de un rectángulo de lados `(5)^(3)` y `(7)^(3)`?,,,,,,`42875`,`1728`,`1838265625`,`2985984`,`85750`,14,C,1,1000,Analizar,7,5,3,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2639,
2640,,¿Cuál es el área de un rectángulo de lados `(5)^(3)` y `(5)^(3)`?,,,,,,`15625`,`1000`,`244140625`,`1000000`,`31250`,14,C,1,1000,Analizar,5,5,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640,
2641,,¿Cuál es el resultado de dividir `(-5)^(4)` por `(-5)^(5)`?,,,,,,`(-5)^(4-5)`,`(-5/-5)^(4-5)`,`(-5)^(4/5)`,`(-5)^(5-4)`,`(4-5)^(-5)`,15,A,0.166666667,100,Identificar,-5,4,5,-5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2641,
2642,,¿Cuál es el resultado de dividir `(4)^(5)` por `(4)^(2)`?,,,,,,`(4)^(5-2)`,`(4/4)^(5-2)`,`(4)^(5/2)`,`(4)^(2-5)`,`(5-2)^(4)`,15,A,0.166666667,100,Identificar,4,5,2,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2642,
2643,,¿Cuál es el resultado de dividir `(-3)^(4)` por `(-3)^(3)`?,,,,,,`(-3)^(4-3)`,`(-3/-3)^(4-3)`,`(-3)^(4/3)`,`(-3)^(3-4)`,`(4-3)^(-3)`,15,A,0.166666667,100,Identificar,-3,4,3,-3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2643,
2644,,¿Cuál es el resultado de dividir `(4)^(4)` por `(4)^(3)`?,,,,,,`(4)^(4-3)`,`(4/4)^(4-3)`,`(4)^(4/3)`,`(4)^(3-4)`,`(4-3)^(4)`,15,A,0.166666667,100,Identificar,4,4,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2644,
2645,,¿Cuál es el resultado de dividir `(-3)^(3)` por `(-3)^(4)`?,,,,,,`(-3)^(3-4)`,`(-3/-3)^(3-4)`,`(-3)^(3/4)`,`(-3)^(4-3)`,`(3-4)^(-3)`,15,A,0.166666667,100,Identificar,-3,3,4,-3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2645,
2646,,¿Cuál es el resultado de dividir `(-2)^(5)` por `(-2)^(4)`?,,,,,,`(-2)^(5-4)`,`(-2/-2)^(5-4)`,`(-2)^(5/4)`,`(-2)^(4-5)`,`(5-4)^(-2)`,15,A,0.166666667,100,Identificar,-2,5,4,-2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2646,
2647,,¿Cuál es el resultado de dividir `(1)^(3)` por `(1)^(2)`?,,,,,,`(1)^(3-2)`,`(1/1)^(3-2)`,`(1)^(3/2)`,`(1)^(2-3)`,`(3-2)^(1)`,15,A,0.166666667,100,Identificar,1,3,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2647,
2648,,¿Cuál es el resultado de dividir `(1)^(6)` por `(1)^(5)`?,,,,,,`(1)^(6-5)`,`(1/1)^(6-5)`,`(1)^(6/5)`,`(1)^(5-6)`,`(6-5)^(1)`,15,A,0.166666667,100,Identificar,1,6,5,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2648,
2649,,¿Cuál es el resultado de dividir `(-5)^(3)` por `(-5)^(4)`?,,,,,,`(-5)^(3-4)`,`(-5/-5)^(3-4)`,`(-5)^(3/4)`,`(-5)^(4-3)`,`(3-4)^(-5)`,15,A,0.166666667,100,Identificar,-5,3,4,-5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2649,
2650,,¿Cuál es el resultado de dividir `(1)^(3)` por `(1)^(5)`?,,,,,,`(1)^(3-5)`,`(1/1)^(3-5)`,`(1)^(3/5)`,`(1)^(5-3)`,`(3-5)^(1)`,15,A,0.166666667,100,Identificar,1,3,5,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,
2651,,¿Cuál es el resultado de dividir `(8)^(9)` por `(8)^(10)`?,,,,,,`(8)^(9-10)`,`(8/8)^(9-10)`,`(8)^(9/10)`,`(8)^(10-9)`,`(9-10)^(8)`,15,A,0.333333333,200,Identificar,8,9,10,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2651,
2652,,¿Cuál es el resultado de dividir `(-6)^(7)` por `(-6)^(8)`?,,,,,,`(-6)^(7-8)`,`(-6/-6)^(7-8)`,`(-6)^(7/8)`,`(-6)^(8-7)`,`(7-8)^(-6)`,15,A,0.333333333,200,Identificar,-6,7,8,-6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2652,
2653,,¿Cuál es el resultado de dividir `(-2)^(8)` por `(-2)^(10)`?,,,,,,`(-2)^(8-10)`,`(-2/-2)^(8-10)`,`(-2)^(8/10)`,`(-2)^(10-8)`,`(8-10)^(-2)`,15,A,0.333333333,200,Identificar,-2,8,10,-2,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2653,
2654,,¿Cuál es el resultado de dividir `(-3)^(8)` por `(-3)^(6)`?,,,,,,`(-3)^(8-6)`,`(-3/-3)^(8-6)`,`(-3)^(8/6)`,`(-3)^(6-8)`,`(8-6)^(-3)`,15,A,0.333333333,200,Identificar,-3,8,6,-3,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2654,
2655,,¿Cuál es el resultado de dividir `(-3)^(9)` por `(-3)^(6)`?,,,,,,`(-3)^(9-6)`,`(-3/-3)^(9-6)`,`(-3)^(9/6)`,`(-3)^(6-9)`,`(9-6)^(-3)`,15,A,0.333333333,200,Identificar,-3,9,6,-3,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2655,
2656,,¿Cuál es el resultado de dividir `(2)^(6)` por `(2)^(7)`?,,,,,,`(2)^(6-7)`,`(2/2)^(6-7)`,`(2)^(6/7)`,`(2)^(7-6)`,`(6-7)^(2)`,15,A,0.333333333,200,Identificar,2,6,7,2,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2656,
2657,,¿Cuál es el resultado de dividir `(-1)^(9)` por `(-1)^(6)`?,,,,,,`(-1)^(9-6)`,`(-1/-1)^(9-6)`,`(-1)^(9/6)`,`(-1)^(6-9)`,`(9-6)^(-1)`,15,A,0.333333333,200,Identificar,-1,9,6,-1,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2657,
2658,,¿Cuál es el resultado de dividir `(8)^(9)` por `(8)^(6)`?,,,,,,`(8)^(9-6)`,`(8/8)^(9-6)`,`(8)^(9/6)`,`(8)^(6-9)`,`(9-6)^(8)`,15,A,0.333333333,200,Identificar,8,9,6,8,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2658,
2659,,¿Cuál es el resultado de dividir `(-6)^(9)` por `(-6)^(8)`?,,,,,,`(-6)^(9-8)`,`(-6/-6)^(9-8)`,`(-6)^(9/8)`,`(-6)^(8-9)`,`(9-8)^(-6)`,15,A,0.333333333,200,Identificar,-6,9,8,-6,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659,
2660,,¿Cuál es el resultado de dividir `(7)^(7)` por `(7)^(8)`?,,,,,,`(7)^(7-8)`,`(7/7)^(7-8)`,`(7)^(7/8)`,`(7)^(8-7)`,`(7-8)^(7)`,15,A,0.333333333,200,Identificar,7,7,8,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660,
2661,,¿Cuál es el resultado de dividir `(-4)^(-11)` por `(-4)^(13)`?,,,,,,`(-4)^(-11-13)`,`(-4/-4)^(-11-13)`,`(-4)^(-11/13)`,`(-4)^(13--11)`,`(-11-13)^(-4)`,15,A,0.5,300,Identificar,-4,-11,13,-4,-11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2661,
